validation_pair_id,evidence_source,condition_group,disease_local_global_id,disease_label,disease_mesh,drug_local_id,drug_name,drugbank_id,gene_symbols,gene_entrez_ids,pool_rows,evidence_classification,condition_match_kind,supporting_record_ids,supporting_phases,supporting_statuses,source_urls,manual_reason,automatic_trial_count,hanami_prefilter_median_top_percent
2129c5c2710c2f890eff,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,218,celecoxib,DB00482,PTGS2,5743,10770,phase2_3_registry_match,exact_or_named_subtype,NCT00006381;NCT00045591;NCT00056082;NCT00088972;NCT00101062;NCT00201773;NCT00291694;NCT00305643;NCT00525096;NCT00665457;NCT01425476;NCT01695226;NCT02429427;NCT03084536;NCT03185871;NCT05756166,PHASE1|PHASE2;PHASE2;PHASE3,,,,16,4.233
c2fcbe24e0a0c1767575,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,289,chloroquine,DB00608,TNF,7124,13725,phase2_3_registry_match,exact_or_named_subtype,NCT02333890,PHASE2,,,,1,5.283
840ecd23b8d1e69401f8,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,25,cholecalciferol,DB00169,VDR,7421,20716,phase2_3_registry_match,exact_or_named_subtype,NCT00859651;NCT01425476;NCT01608451;NCT02186015,PHASE1|PHASE2;PHASE2;PHASE3,,,,4,14.747
36fc452880d1f8f177b5,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,243,ciprofloxacin,DB00537,TOP2A,7153,22323,phase2_3_registry_match,exact_or_named_subtype,NCT00590785,PHASE3,,,,1,12.849
1436b71c6b76d983f694,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,4,cyclosporine,DB00091,SLCO1B1,10599,43287,phase2_3_registry_match,exact_or_named_subtype,NCT00008203;NCT00020176;NCT00074269;NCT00365287;NCT01105650,PHASE1|PHASE2;PHASE2;PHASE3,,,,5,23.217
b025fba85547b70e20bc,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,700,dasatinib,DB01254,KIT,3815,15324,phase2_3_registry_match,exact_or_named_subtype,NCT00371254;NCT00371345;NCT00410813;NCT00546104;NCT00566618;NCT00696072;NCT00754325;NCT00780676;NCT00817531;NCT00903006;NCT00924352;NCT01306942;NCT01410708;NCT01471106;NCT02465060;NCT02720185;NCT05198843;NCT06355037,PHASE1|PHASE2;PHASE2,,,,18,12.168
0d481fea8d465a55eb88,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,764,deferasirox,DB01609,CYP3A4,1576,34746,phase2_3_registry_match,exact_or_named_subtype,NCT00602446;NCT01159067,PHASE2,,,,2,15.501
bfa057da4b57ed85587f,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,240,erlotinib,DB00530,EGFR,1956,1137,phase2_3_registry_match,exact_or_named_subtype,NCT00570258;NCT00597597;NCT00732810;NCT00834678;NCT01205685;NCT04591431,PHASE1|PHASE2;PHASE2,,,,6,37.686
3e5cfca6a26abd00ef99,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,656,estramustine,DB01196,ESR1,2099,1818,phase2_3_registry_match,exact_or_named_subtype,NCT02853071;NCT02866955,PHASE2,,,,2,6.642
8ca98279e64650c64560,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,394,etoposide,DB00773,TOP2A,7153,22343,phase2_3_registry_match,exact_or_named_subtype,NCT00002509;NCT00002836;NCT00003269;NCT00004900;NCT00004906;NCT00006032;NCT00006260;NCT00012311;NCT00060255;NCT00693719;NCT00810017;NCT01492556;NCT01589159;NCT03923179;NCT06418594,PHASE1|PHASE2;PHASE2;PHASE3,,,,15,7.745
3b10a2ecb03440bb27a8,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,112,gefitinib,DB00317,EGFR,1956,1111,phase2_3_registry_match,exact_or_named_subtype,NCT00024154;NCT00049062;NCT00057941;NCT00066339;NCT00066378;NCT00077025;NCT00080743;NCT00082667;NCT00086957;NCT00229697;NCT00239343;NCT00247481;NCT00252811;NCT00255463;NCT00319618;NCT00357734;NCT00637026;NCT01732276,PHASE1|PHASE2;PHASE2;PHASE3,,,,18,45.157
a112b14ca795defade47,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,193,gemcitabine,DB00441,TYMS,7298,36868,phase2_3_registry_match,exact_or_named_subtype,NCT00034489;NCT00063570;NCT00093795;NCT00110084;NCT00128310;NCT00128856;NCT00191152;NCT00191243;NCT00191269;NCT00191347;NCT00191373;NCT00191438;NCT00191451;NCT00191672;NCT00191789;NCT00191815;NCT00191854;NCT00192062;NCT00192101;NCT00193050;NCT00193063;NCT00193076;NCT00193206;NCT00201760;NCT00236899;NCT00244933;NCT00316199;NCT00320541;NCT00325234;NCT00334802;NCT00403130;NCT00431106;NCT00440622;NCT00450762;NCT00476827;NCT00480597;NCT00493636;NCT00503906;NCT00618826;NCT00623233;NCT00674206;NCT00754351;NCT00846027;NCT00894504;NCT01045304;NCT01201265;NCT01352494;NCT01815242;NCT01881230;NCT01939418;NCT02139358;NCT02213744;NCT02252887;NCT02263495;NCT02331251;NCT02393248;NCT02435680;NCT02489409;NCT02514681;NCT02538432;NCT02544243;NCT02555657;NCT02574455;NCT02632448;NCT02641847;NCT02755272;NCT02819518;NCT02915744;NCT02978716;NCT03025880;NCT03267316;NCT03371017;NCT03423849;NCT03674242;NCT03734029;NCT03901339;NCT04143906;NCT04191135;NCT04297267;NCT04464174;NCT04659603;NCT04681911;NCT04739670;NCT04745975;NCT04799249;NCT05007106;NCT05104866;NCT05181462;NCT05382286;NCT05382299;NCT05601440;NCT05809895;NCT05981001;NCT06026657;NCT06027268;NCT06081959;NCT06102824;NCT06103864;NCT06268652;NCT06343948;NCT06382142;NCT06435429;NCT06449222;NCT06492759;NCT06519370;NCT06531447;NCT06630325;NCT06841354;NCT06926868;NCT07007559;NCT07173751;NCT07366840;NCT07461454,PHASE1|PHASE2;PHASE2;PHASE2|PHASE3;PHASE3,,,,113,13.649
f6a85349a7084e1bb771,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,1046,glucosamine,DB01296,TNF; IL1B; MMP9,7124; 3553; 4318,14471;19844;34561,phase2_3_registry_match,exact_or_named_subtype,NCT00691678,PHASE2,,,,1,4.868
05d07bfd1866c1576ed5,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,293,imatinib,DB00619,KIT; ABL1,3815; 25,4557;15304,phase2_3_registry_match,exact_or_named_subtype,NCT00193180,PHASE2,,,,1,15.41
9dcea7bb69cd90835161,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,926,lenvatinib,DB09078,KIT; FGFR1; KDR,3815; 2260; 3791,1296;2509;15456,phase2_3_registry_match,exact_or_named_subtype,NCT03168074;NCT03797326;NCT05007106;NCT06110793;NCT06140576;NCT06849492,PHASE1|PHASE2;PHASE2,,,,6,19.269
30acdc445abe20f6bf95,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,314,leucovorin,DB00650,TYMS,7298,36909,phase2_3_registry_match,exact_or_named_subtype,NCT00001498;NCT01231802;NCT03175666;NCT03387085;NCT03554109;NCT05564377;NCT05714553,PHASE1|PHASE2;PHASE2,,,,7,20.49
539cb5fa0ebfc371cc5f,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,620,levofloxacin,DB01137,TOP2A,7153,22374,phase2_3_registry_match,exact_or_named_subtype,NCT00005590,PHASE3,,,,1,15.442
e4dbbadd91d61fc1c8d7,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,91,lidocaine,DB00281,EGFR,1956,1083,phase2_3_registry_match,exact_or_named_subtype,NCT01204242;NCT02839668,PHASE2,,,,2,32.104
04d2c0fe8021c80b5464,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,576,melatonin,DB01065,ESR1,2099,1712,phase2_3_registry_match,exact_or_named_subtype,NCT01557478;NCT01965522;NCT02332928;NCT02506777;NCT02506790;NCT03716583;NCT07067307,PHASE1|PHASE2;PHASE2;PHASE2|PHASE3;PHASE3,,,,7,4.48
14e631cfb0c348b2462c,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,430,mifepristone,DB00834,AR; PGR,367; 5241,5565;7102,phase2_3_registry_match,exact_or_named_subtype,NCT01898312;NCT02788981;NCT03225547;NCT05016349;NCT06099769,PHASE2;PHASE3,,,,5,5.618
5d08d2b291023f70c870,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,403,naproxen,DB00788,PTGS2; PTGS1,5743; 5742,11318;35169,phase2_3_registry_match,exact_or_named_subtype,NCT01712009,PHASE2,,,,1,2.275
44b6a54e3f26f0ca33a4,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,735,neostigmine,DB01400,ACHE,43,31442,phase2_3_registry_match,exact_or_named_subtype,NCT02839668,PHASE2,,,,1,14.621
2e4847effb622357e498,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,792,nilotinib,DB04868,KIT,3815,15368,phase2_3_registry_match,exact_or_named_subtype,NCT05185947,PHASE2,,,,1,21.517
116ded101614618db8fe,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,1073,nimesulide,DB04743,PTGS2; PTGS1,5743; 5742,12719;35375,phase2_3_registry_match,exact_or_named_subtype,NCT01500577,PHASE2,,,,1,5.78
3024450662d81c5c832a,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,927,nintedanib,DB09079,FGFR1; FGFR2,2260; 2263,2536;25706,phase2_3_registry_match,exact_or_named_subtype,NCT01658462,PHASE2,,,,1,29.33
8c48f965dec85563e104,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,126,omeprazole,DB00338,AHR,196,20152,phase2_3_registry_match,exact_or_named_subtype,NCT02595372;NCT05646862,PHASE2;PHASE3,,,,2,46.725
e755cdcdd04a27e7a3c6,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,843,pazopanib,DB06589,FGFR1; KDR; FLT1,2260; 3791; 2321,1256;2428;3981,phase2_3_registry_match,exact_or_named_subtype,NCT00558103;NCT01392352;NCT01466972,PHASE2,,,,3,25.534
05a031aefc5f76c125bc,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,308,pemetrexed,DB00642,TYMS; DHFR,7298; 1719,20987;36893,phase2_3_registry_match,exact_or_named_subtype,NCT00034489;NCT00063570;NCT00065533;NCT00072865;NCT00102219;NCT00106002;NCT00149214;NCT00190671;NCT00191347;NCT00325234;NCT03267316;NCT06630325,PHASE1|PHASE2;PHASE2,,,,12,15.433
3ce2bb521db5d66849e4,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,415,pentoxifylline,DB00806,TNF,7124,13872,phase2_3_registry_match,exact_or_named_subtype,NCT00022204;NCT00188669;NCT02898376;NCT05189535;NCT06087237,PHASE2;PHASE2|PHASE3;PHASE3,,,,5,1.537
657449a8dc418ad1c353,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,900,ponatinib,DB08901,KIT; FGFR1; ABL1,3815; 2260; 25,2482;4608;15434,phase2_3_registry_match,exact_or_named_subtype,NCT04591431,PHASE2,,,,1,14.136
05d39b7e6d6a9862b768,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,705,posaconazole,DB01263,CYP3A4,1576,34737,phase2_3_registry_match,exact_or_named_subtype,NCT06802757,PHASE2,,,,1,12.693
73b7d7ef4c41bd414b38,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,26,pravastatin,DB00175,SLCO1B1,10599,43289,phase2_3_registry_match,exact_or_named_subtype,NCT04190433;NCT04356209,PHASE2,,,,2,32.64
0ed0681428f3ea4d0859,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,451,ranitidine,DB00863,ACHE; BCHE,43; 590,31404;32849,phase2_3_registry_match,exact_or_named_subtype,NCT01332630;NCT04862585,PHASE2;PHASE2|PHASE3,,,,2,15.446
83a751dca28e70558c2d,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,898,regorafenib,DB08896,KIT,3815,15412,phase2_3_registry_match,exact_or_named_subtype,NCT02955940,PHASE2,,,,1,15.343
9e16c7a1c1d0e7e3692e,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,165,sorafenib,DB00398,KIT; FGFR1; KDR,3815; 2260; 3791,1226;2347;15281,phase2_3_registry_match,exact_or_named_subtype,NCT00493636;NCT00525161;NCT00632541;NCT00634634;NCT00825734;NCT01194869;NCT05594095,PHASE1|PHASE2;PHASE2,,,,7,15.676
30edfe084c585ef92911,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,180,spironolactone,DB00421,AR; PGR,367; 5241,5429;7069,phase2_3_registry_match,exact_or_named_subtype,NCT04190433,PHASE2,,,,1,5.774
38cf37e7f514e94271ff,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,407,sulfasalazine,DB00795,PTGS2; PTGS1,5743; 5742,11378;35178,phase2_3_registry_match,exact_or_named_subtype,NCT03847311,PHASE2,,,,1,3.361
53bf48ee89c1d2aaa25a,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,287,sulindac,DB00605,PTGS2; PTGS1,5743; 5742,11074;35133,phase2_3_registry_match,exact_or_named_subtype,NCT00039520,PHASE2,,,,1,3.852
3ff213c6ce297c5feec8,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,708,sunitinib,DB01268,KDR; FGFR1; FLT1,3791; 2260; 2321,1236;2401;3967,phase2_3_registry_match,exact_or_named_subtype,NCT00373256;NCT00434356;NCT00471276;NCT00570908;NCT00662025;NCT00887575;NCT01803503,PHASE1|PHASE2;PHASE2;PHASE3,,,,7,31.478
07526bb1ee8b2a272676,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,782,thiotepa,DB04572,CYP3A4,1576,34751,phase2_3_registry_match,exact_or_named_subtype,NCT00002680;NCT00002755;NCT00002772;NCT00002780;NCT00002836;NCT00002870;NCT00003068;NCT00003086;NCT00003199;NCT00003680;NCT00003877;NCT00003972;NCT00004092;NCT00004172;NCT00004900;NCT00004906;NCT00005798;NCT00006123;NCT00008203;NCT00012311;NCT00060255;NCT00182793;NCT00429182,PHASE1|PHASE2;PHASE2;PHASE3,,,,23,11.146
f8684dcafc3d8a46565e,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,1249,tibolone,DB09070,ESR1,2099,2323,phase2_3_registry_match,exact_or_named_subtype,NCT00165204;NCT00408863;NCT00725374,PHASE2;PHASE3,,,,3,7.237
44543f83edcc315e0f61,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,964,venetoclax,DB11581,BCL2,596,3632,phase2_3_registry_match,exact_or_named_subtype,NCT03584009;NCT04298918,PHASE1|PHASE2;PHASE2,,,,2,29.273
c3a2ffd9ffeafcfdaed8,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,1034,Ethanol,DB00898,CACNA1C,775,932,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT01898221,PHASE3,,,,1,33.438
eb916393da4da65cf193,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,496,aspirin,DB00945,PTGS2,5743,11699,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00244426;NCT02164864;NCT02565693;NCT02960126;NCT03907046,PHASE2;PHASE3,,,,5,8.187
b0add92a3f28d5dcb49f,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,999,betrixaban,DB12364,KCNH2,3757,17514,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00742859,PHASE2,,,,1,29.893
b8062edc606461e59683,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,619,carvedilol,DB01136,KCNH2,3757,17435,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00313157,PHASE3,,,,1,23.266
7018a95e1af376cdba0a,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,129,diltiazem,DB00343,CACNA1C,775,740,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00000556;NCT00313157,PHASE3,,,,2,27.897
cd68d44aa0c6b965a410,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,204,imipramine,DB00458,KCNH2,3757,17343,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00000464;NCT00000504;NCT00000518,PHASE2;PHASE3,,,,3,28.506
773c6aea0a8e8782cf5c,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,121,indomethacin,DB00328,PTGS2,5743,10544,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00262470,PHASE1|PHASE2,,,,1,17.042
2b9e10011d8b41fbb3fc,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,404,perindopril,DB00790,ACE,1636,40596,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00461903,PHASE3,,,,1,11.48
ef4f2a863d24e66253d2,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,29,ramipril,DB00178,ACE,1636,40379,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00141778;NCT00736294,PHASE2|PHASE3;PHASE3,,,,2,14.204
c463825b18adf163759d,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,71,ranolazine,DB00243,SCN5A,6331,31863,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT01349491;NCT01522651;NCT01534962;NCT01887353,PHASE2;PHASE3,,,,4,28.058
c613e746e7bf92e61902,automatic_phase2_3,cardiovascular_hypertensive,168,"Arrhythmias, Cardiac",D001145,180,spironolactone,DB00421,CACNA1C,775,781,phase2_3_registry_match,broader_narrower_arrhythmia_spectrum,NCT00141778;NCT02764619,PHASE2|PHASE3;PHASE3,,,,2,24.172
7d14b9f6d6a06db73d12,automatic_phase2_3,cardiovascular_hypertensive,81,Atherosclerosis,D050197,496,aspirin,DB00945,PTGS2,5743,11686,phase2_3_registry_match,exact_or_named_subtype,NCT00004728;NCT00222677;NCT00684203;NCT00776477;NCT05700266,PHASE2;PHASE2|PHASE3;PHASE3,,,,5,16.387
02a6c147d3b7c37272a2,automatic_phase2_3,cardiovascular_hypertensive,81,Atherosclerosis,D050197,582,atorvastatin,DB01076,AHR,196,20217,phase2_3_registry_match,exact_or_named_subtype,NCT00115817;NCT00115830;NCT00481364;NCT00620542;NCT00650689;NCT00804843;NCT06080256;NCT07474649,PHASE2;PHASE3,,,,8,54.888
abb93af94e1f280b98e1,automatic_phase2_3,cardiovascular_hypertensive,81,Atherosclerosis,D050197,400,estradiol,DB00783,ESR1,2099,1588,phase2_3_registry_match,exact_or_named_subtype,NCT00005108,PHASE2,,,,1,35.145
a9b7c2a83dba150f3bcb,automatic_phase2_3,cardiovascular_hypertensive,81,Atherosclerosis,D050197,415,pentoxifylline,DB00806,TNF,7124,13882,phase2_3_registry_match,exact_or_named_subtype,NCT00796822;NCT00864916,PHASE2,,,,2,15.616
a7515aaab2146d7768b8,automatic_phase2_3,cardiovascular_hypertensive,81,Atherosclerosis,D050197,163,progesterone,DB00396,ESR1,2099,1384,phase2_3_registry_match,exact_or_named_subtype,NCT00005108,PHASE2,,,,1,25.021
d370b8170993920dc66e,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,1034,Ethanol,DB00898,CACNA1C,775,928,phase2_3_registry_match,exact_or_named_subtype,NCT01898221,PHASE3,,,,1,53.253
42db8a554ff7676716a9,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,316,Magnesium Sulfate,DB00653,CACNA1C; CACNB2,775; 783,809;42886,phase2_3_registry_match,exact_or_named_subtype,NCT05669417,PHASE2|PHASE3,,,,1,31.309
2e68af3ec76bcd79e76e,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,496,aspirin,DB00945,PRKAG2,51422,7405,phase2_3_registry_match,exact_or_named_subtype,NCT00244426;NCT00623779;NCT02164864;NCT02565693;NCT02960126;NCT03907046,PHASE2;PHASE3,,,,6,37.232
4fc642c3ed6b22c4b037,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,102,bupivacaine,DB00297,KCNA5,3741,19716,phase2_3_registry_match,exact_or_named_subtype,NCT05357690,PHASE2|PHASE3,,,,1,64.683
e2ef2f71066f2a949bf4,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,619,carvedilol,DB01136,NPPB,4879,8648,phase2_3_registry_match,exact_or_named_subtype,NCT00313157,PHASE3,,,,1,32.863
777cadd9c3dbffec85bf,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,404,perindopril,DB00790,ACE,1636,40592,phase2_3_registry_match,exact_or_named_subtype,NCT00461903,PHASE3,,,,1,17.274
71668452c201802a5e73,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,29,ramipril,DB00178,ACE,1636,40375,phase2_3_registry_match,exact_or_named_subtype,NCT00141778;NCT00736294,PHASE2|PHASE3;PHASE3,,,,2,20.676
db9fb3e367314f5649a8,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,71,ranolazine,DB00243,SCN5A,6331,31862,phase2_3_registry_match,exact_or_named_subtype,NCT01349491;NCT01522651;NCT01534962;NCT01887353,PHASE2;PHASE3,,,,4,44.075
32db7453c3570bb37df2,automatic_phase2_3,cardiovascular_hypertensive,116,Atrial Fibrillation,D001281,180,spironolactone,DB00421,CACNA1C; CACNB2,775; 783,777;42880,phase2_3_registry_match,exact_or_named_subtype,NCT00141778;NCT02764619;NCT06204640,PHASE2|PHASE3;PHASE3,,,,3,31.338
9e970190f2d757ffc77c,automatic_phase2_3,cardiovascular_hypertensive,450,Cardiomyopathies,D009202,496,aspirin,DB00945,PTGS2,5743,11725,phase2_3_registry_match,exact_or_named_subtype,NCT02674958,PHASE3,,,,1,14.08
0e25ace558039a3063c9,automatic_phase2_3,cardiovascular_hypertensive,296,Coronary Artery Disease,D003324,496,aspirin,DB00945,PTGS2,5743,11713,phase2_3_registry_match,exact_or_named_subtype,NCT00330772;NCT00642811;NCT00823212;NCT01268917;NCT01466452;NCT01500434;NCT01510327;NCT01598337;NCT01755520;NCT02266030;NCT02294643;NCT04434365;NCT05093790,PHASE1|PHASE2;PHASE2;PHASE3,,,,13,10.405
8c603cec02c8ff01ebeb,automatic_phase2_3,cardiovascular_hypertensive,296,Coronary Artery Disease,D003324,163,progesterone,DB00396,ESR1,2099,1393,phase2_3_registry_match,exact_or_named_subtype,NCT00000555,PHASE3,,,,1,18.387
98a24e9019c174e1557d,automatic_phase2_3,cardiovascular_hypertensive,94,Heart Failure,D006333,1080,Oxygen,DB09140,HBA2; NOX1,3040; 27035,36440;40321,phase2_3_registry_match,exact_or_named_subtype,NCT02949531;NCT03102827;NCT03745898;NCT03841084;NCT05613218,PHASE2;PHASE2|PHASE3;PHASE3,,,,5,33.967
e9a8fdf23ff6db3e4d4f,automatic_phase2_3,cardiovascular_hypertensive,94,Heart Failure,D006333,539,albuterol,DB01001,ADRB1; ADRB3,153; 155,389;27225,phase2_3_registry_match,exact_or_named_subtype,NCT01375361;NCT02885636,PHASE2|PHASE3;PHASE3,,,,2,23.882
